id,label
068aba587a4950175d04c680d38943fd488d6a9d.tif,0
c2a8ef295e49b8012e5bc83917a305057eaa1932.tif,1
1bb23b52c53abdfb8105a5dda50bf6d5fa7b14fc.tif,0
50f157dd5878369b1ed0a9acc102fcee451b64d6.tif,0
2063372edcea465d2bea334a779462e74fbfb978.tif,1
869bc5b32cdc5b9b279fb550aa0f71eddcd1464b.tif,1
62ae3a6e3ba8355f617455473bf4d8eec423a834.tif,1
c0422c60c24f07b112b796a980405a8db830ccf6.tif,0
2beb4425674591e7cf163717675f0a122e6541f3.tif,1
4ed0c185fe3a70e4d1b39efb4a68078cdaa969db.tif,1
131fd38eebe69269cc13328acdd939498bf81478.tif,1
ab38004025e72f58e9f348796236a6e8c7683e87.tif,0
3789f58208348586070293a28ae74e08cca81599.tif,0
349e4d18dce955b03133c1ed9e878c07c06fe07b.tif,1
a94941d64e54cf16bfe0fd4c4b9d0d6f22bd61dc.tif,1
c1e26261ca5287fbf1150bcbc23b4edaed5a7182.tif,1
5e55dd34b932f58d4863ba19d1596fce927d9daa.tif,0
e90194b371e1b66e68c51577440f2008dee07431.tif,1
72700633578a51b522e58382690548fabd38c1aa.tif,0
20df3ece364e88719559514477dd5beebeb5e7e4.tif,0
e129f532f49716ec501114b73655336deed73fa4.tif,1
6b5eaad6c2730f09aabcee285b1fa96615b45bc2.tif,0
8a1279b03f7005da27ad351ba5e1fd79861b37b6.tif,0
532a901f595baecb47dd2ce129ca4da21682030c.tif,0
da83c951ba4677191a7dcbecd92b29ed7ce759f1.tif,0
fc689c7def74c6e97ddfc2949300e422a62a8c65.tif,1
21d4da2ebf8312bf9cd0a36fa34d7390af23ba70.tif,0
2f890e22bafe1d5536da9ab7273022338ec69c75.tif,1
d425d48959ed4916122c9347626393173161eead.tif,0
069d3ca5c31e006554ab7280f65aa8cb1880be0c.tif,1
fb795989dedd89a31def1c3d227725b51692acc6.tif,1
e08f8a96130950af2c199d579db403026766a2ab.tif,0
c5927701e006440cc44a8f91aa13a6f5652232d5.tif,1
1f2a39f7e793e9389a3585f7ba4ee4910f4159f7.tif,1
557ffd052dfe07469686d2acddbb0ab1a0731486.tif,1
d55b66bf59846a66c20c71e39a278c6977b26ecf.tif,0
ae075ba9d5ff2c5e765cca06ccebb2dd65e7d818.tif,0
81dcf811c8dd7d50dd371fc241b71267761b9591.tif,0
ab0c5af0766f28396b43119c3c011785fcf3bc10.tif,1
a0936929bb27302cabeea1daffb1e82e1489baa7.tif,0
9df00bbc6b78850db8dbb1629ccd63b95af3dcae.tif,0
ed07e9f317cc25a19a092de6eaeb75aa0a035668.tif,0
7f0f420dfd9aa4faa7c7602cfe8573243b772d61.tif,0
917ce1b5e443e463d8cef235c13100e8e98d0db0.tif,0
c8627aed8aa33ba016256dd2e0a0e0395a11b105.tif,0
ecbca8f00c07c7e540f4a71ebfdfa23164ff6810.tif,1
cb6760464b026fd6f1544b26832216c777b0f029.tif,1
8bebab9468d136bfd886a503aecef29ceb0d9ddf.tif,0
8c0a306f3c2a6a73e7c25a1e80bb39b7d9139c6b.tif,0
00b6e7c821052398e701db1b05c5e0ac212064a1.tif,0
498e2485884a9a38e728d4cdc921919c54a7d949.tif,0
de71691b8b8ddaad7ba31ef38b0afa53a7bbe5f1.tif,0
9e58179d0ccbd3d4685a8b155a61a2728b717903.tif,0
437615b2b400e3d75e3a4174b56c85d053d32a46.tif,0
bc926a06174f28f5b4302e931071c8577974f131.tif,0
f0bf3673b6dd30b9ebcbb7d9b8af6e81c0eaad55.tif,1
40e5b3f973ee4ee635ccac01a7da4e177769cf4e.tif,1
ed7d6ebbf1b7c03853fac10f8c2f36f282ea7498.tif,1
71e6188fb691ccf6e41ccabaf01900f13f95a23a.tif,0
bd1a8fcee26ff7fcb911e9d86fb6898fd0d25853.tif,0
e92be2a50d429e7aa7f2fda00e511ddf530bea88.tif,0
23611b2c76d4f4385a5460cfe8b2e93dd3220d9c.tif,0
2c15368d2a1baae69cdb4375bca6e47c9870402a.tif,1
cf7a83d5d656bb65fe637841d5309379216ffccf.tif,0
faa099e09004cca99866dfd9de8923ac2cdfb378.tif,0
7880316393c18d41fe3bec1160b753d8c9fbcf53.tif,0
5c39b39656ae814ca703d8c3b5119e40ee603f4e.tif,0
2250f94265572da1198a435fb66ceff3ba7b33c2.tif,1
465696ca3f5f3141f7607d8f9d4b3ddd9025cfe2.tif,0
f592e6bbfa329be1a717278a19e98fddc1cf2d00.tif,1
451a0cad35999dafaa3cad658d60d0380e0e7f4f.tif,0
fc769d854a9b0b30fdc09f6a920c772ce217a96d.tif,0
cb13f9e80325c38de7be05b924cdaf44ae70ac57.tif,0
62610558b64f8ca4792f0f70bc8607393076d986.tif,1
40c2d680e3c89b4e083b6289565f98ef84c6f2b2.tif,0
ec3f84d73b3e844cf14ab254e9f9ff34df0f72d3.tif,0
c5e9a8ca1d33565637b06f57fdfff8116e258e73.tif,0
e42f9421f06e91b0b45f41c3c869b664af190c7a.tif,0
